date,comment
2019-08-08 18:16:50,首先说价格，在京东以优惠价格购买的，明显要比普通超市价格便宜50%左右，很实惠，在说矿泉水，和其他品牌的矿泉水纯净水也做过一些比较，总体感觉，百岁山的水，偏甘甜，喝起来很纯净的感觉，尤其在夏天直接饮用很爽，无需再单独晾凉开水了，最后说服务，京东的快递小哥真是棒，我告诉他本人不在家里，家里只有老人和小孩，不方便下来拿的时候，主动把水搬到家门口，很是贴心，赞一个。
2019-11-12 14:56:36,喝水就要和矿泉水，我不和蒸馏水或者纯净水的，百岁山 饮用天然矿泉水 570ml*24瓶 整箱装，百岁山矿泉水在口感清澈的基础上，喝一口之后，回味会有一点点甜，不明显，但却是让人感觉得到，这一点点甜瞬间就把水的口感提升了一个档次，让人有越喝越想喝的感觉。第二，瓶子的设计独具匠心，不但造型美观，而且蕴含了数学曲线美，以及对深层地下水涓涓细流的寓意。第三，水瓶的材质非常好，很结实坚固，不易变形，发着幽幽蓝光，很有高档的感觉。
2019-08-18 21:51:57,正品便宜方便，今天下单明天到，而且比超市还便宜不少，用了京东，就停比下来了，主要是便宜，方便，物流快，太赞了，我的矿泉水百岁山买了好几次了，每次我都非常的满意，这箱喝完了，还会再来买，正品，口感都不错，，赞赞赞赞赞。
2019-09-16 21:07:31,百岁山矿泉水，水中贵族，每年夏天必备产品，买过很多箱，老婆说百岁山比农夫山泉的好喝，我也觉得。之前看过百岁山的广告，很有新意，很特别，看了就让人有想买的感觉，买了以后也不后悔，确实口感很好，值得推荐值得购买
2019-09-04 12:39:10,不错的矿泉水，以前刚工作的时候都不知道，零几年的时候去南方出差，是广州吧，酒店里摆着，才知道是矿泉水，哈哈哈，感觉自己好老土，水好喝，很软，微甜，比天津的好喝，个人比较喜欢，用来煮饭，沏茶，食用和饮用都很适宜，推荐关注，会持续回购，五星好评，赞！
2019-09-09 16:48:12,我在云南石林，这边的水质简直糟糕透了，市政管网的水在接出来后，静置一阵子之后，就有沉淀物，烧开了，水的颜色简直就像牛奶锅的刷锅水，混得厉害，所以买这款水给宝宝喝，他也很喜欢喝，自己会去箱子里拿，不用催着他喝水，而且百岁山的水我很信任，之前，宝宝刚出生就用这个水，给宝宝冲奶粉，再大点，就用这个水给宝宝做辅食，很棒的水，很好的口感。
2019-09-10 17:31:40,味道一如既往的好喝 喝过很多矿泉水 但是百岁山的水味道甘甜 入口之后能感觉到圆润清甜的口感 这样的水质是一般的饮用纯净水无法比拟的 特别是泡茶的时候 能够充分的体现出茶的香味喝回甘 特别是泡红茶 味道很醇厚 香气扑鼻而来
2019-07-27 21:55:10,夏天到了，矿泉水必备呀，我喜欢的矿泉水除了天地精华，就这款了百岁山，百岁山相对贵一点； 我是plus会员，会员价48还有运费4元.合计52，24瓶装；差不多一瓶2.167；相对零售3元些，最主要是好喝丫.热评百万条，就知道这款矿泉水的魅力； 以后会一如既往的支持！也希望品质也一如既往的好，价格也一如既往的给力！
2019-10-11 18:36:13,一直都是喝的这款，味道挺好的。看到这个做活动 马上安排下单了京东物流真的是好 这个味道怎么说呢 比较清新吧 瓶子设计很合理，大小合适，拿着外出也很方便。水口感很好。水质不错，没有异味，很赞！物美价廉，已经在京东买过很多次了，大赞！！价格优惠，还送货上门。
2019-10-13 15:00:21,水的口感很好，丝丝甜味，入口柔和，一线喉，！再者，水的量很大，高大570毫升，性价比十足！另外，瓶子设计时尚大气，握感很好，瓶子的材质也非常不错，舒服环保！最后，百岁山矿泉水，水中贵族，多重矿物质营养成分，长喝也无妨，出门旅行爬山必备佳品！后备箱经常放一箱！你们值得一喝！
2019-08-08 18:16:50,首先说价格，在京东以优惠价格购买的，明显要比普通超市价格便宜50%左右，很实惠，在说矿泉水，和其他品牌的矿泉水纯净水也做过一些比较，总体感觉，百岁山的水，偏甘甜，喝起来很纯净的感觉，尤其在夏天直接饮用很爽，无需再单独晾凉开水了，最后说服务，京东的快递小哥真是棒，我告诉他本人不在家里，家里只有老人和小孩，不方便下来拿的时候，主动把水搬到家门口，很是贴心，赞一个。
2019-11-12 14:56:36,喝水就要和矿泉水，我不和蒸馏水或者纯净水的，百岁山 饮用天然矿泉水 570ml*24瓶 整箱装，百岁山矿泉水在口感清澈的基础上，喝一口之后，回味会有一点点甜，不明显，但却是让人感觉得到，这一点点甜瞬间就把水的口感提升了一个档次，让人有越喝越想喝的感觉。第二，瓶子的设计独具匠心，不但造型美观，而且蕴含了数学曲线美，以及对深层地下水涓涓细流的寓意。第三，水瓶的材质非常好，很结实坚固，不易变形，发着幽幽蓝光，很有高档的感觉。
2019-08-18 21:51:57,正品便宜方便，今天下单明天到，而且比超市还便宜不少，用了京东，就停比下来了，主要是便宜，方便，物流快，太赞了，我的矿泉水百岁山买了好几次了，每次我都非常的满意，这箱喝完了，还会再来买，正品，口感都不错，，赞赞赞赞赞。
2019-09-16 21:07:31,百岁山矿泉水，水中贵族，每年夏天必备产品，买过很多箱，老婆说百岁山比农夫山泉的好喝，我也觉得。之前看过百岁山的广告，很有新意，很特别，看了就让人有想买的感觉，买了以后也不后悔，确实口感很好，值得推荐值得购买
2019-09-04 12:39:10,不错的矿泉水，以前刚工作的时候都不知道，零几年的时候去南方出差，是广州吧，酒店里摆着，才知道是矿泉水，哈哈哈，感觉自己好老土，水好喝，很软，微甜，比天津的好喝，个人比较喜欢，用来煮饭，沏茶，食用和饮用都很适宜，推荐关注，会持续回购，五星好评，赞！
2019-09-09 16:48:12,我在云南石林，这边的水质简直糟糕透了，市政管网的水在接出来后，静置一阵子之后，就有沉淀物，烧开了，水的颜色简直就像牛奶锅的刷锅水，混得厉害，所以买这款水给宝宝喝，他也很喜欢喝，自己会去箱子里拿，不用催着他喝水，而且百岁山的水我很信任，之前，宝宝刚出生就用这个水，给宝宝冲奶粉，再大点，就用这个水给宝宝做辅食，很棒的水，很好的口感。
2019-09-10 17:31:40,味道一如既往的好喝 喝过很多矿泉水 但是百岁山的水味道甘甜 入口之后能感觉到圆润清甜的口感 这样的水质是一般的饮用纯净水无法比拟的 特别是泡茶的时候 能够充分的体现出茶的香味喝回甘 特别是泡红茶 味道很醇厚 香气扑鼻而来
2019-07-27 21:55:10,夏天到了，矿泉水必备呀，我喜欢的矿泉水除了天地精华，就这款了百岁山，百岁山相对贵一点； 我是plus会员，会员价48还有运费4元.合计52，24瓶装；差不多一瓶2.167；相对零售3元些，最主要是好喝丫.热评百万条，就知道这款矿泉水的魅力； 以后会一如既往的支持！也希望品质也一如既往的好，价格也一如既往的给力！
2019-10-11 18:36:13,一直都是喝的这款，味道挺好的。看到这个做活动 马上安排下单了京东物流真的是好 这个味道怎么说呢 比较清新吧 瓶子设计很合理，大小合适，拿着外出也很方便。水口感很好。水质不错，没有异味，很赞！物美价廉，已经在京东买过很多次了，大赞！！价格优惠，还送货上门。
2019-10-13 15:00:21,水的口感很好，丝丝甜味，入口柔和，一线喉，！再者，水的量很大，高大570毫升，性价比十足！另外，瓶子设计时尚大气，握感很好，瓶子的材质也非常不错，舒服环保！最后，百岁山矿泉水，水中贵族，多重矿物质营养成分，长喝也无妨，出门旅行爬山必备佳品！后备箱经常放一箱！你们值得一喝！
2019-08-08 18:16:50,首先说价格，在京东以优惠价格购买的，明显要比普通超市价格便宜50%左右，很实惠，在说矿泉水，和其他品牌的矿泉水纯净水也做过一些比较，总体感觉，百岁山的水，偏甘甜，喝起来很纯净的感觉，尤其在夏天直接饮用很爽，无需再单独晾凉开水了，最后说服务，京东的快递小哥真是棒，我告诉他本人不在家里，家里只有老人和小孩，不方便下来拿的时候，主动把水搬到家门口，很是贴心，赞一个。
2019-11-12 14:56:36,喝水就要和矿泉水，我不和蒸馏水或者纯净水的，百岁山 饮用天然矿泉水 570ml*24瓶 整箱装，百岁山矿泉水在口感清澈的基础上，喝一口之后，回味会有一点点甜，不明显，但却是让人感觉得到，这一点点甜瞬间就把水的口感提升了一个档次，让人有越喝越想喝的感觉。第二，瓶子的设计独具匠心，不但造型美观，而且蕴含了数学曲线美，以及对深层地下水涓涓细流的寓意。第三，水瓶的材质非常好，很结实坚固，不易变形，发着幽幽蓝光，很有高档的感觉。
2019-08-18 21:51:57,正品便宜方便，今天下单明天到，而且比超市还便宜不少，用了京东，就停比下来了，主要是便宜，方便，物流快，太赞了，我的矿泉水百岁山买了好几次了，每次我都非常的满意，这箱喝完了，还会再来买，正品，口感都不错，，赞赞赞赞赞。
2019-09-16 21:07:31,百岁山矿泉水，水中贵族，每年夏天必备产品，买过很多箱，老婆说百岁山比农夫山泉的好喝，我也觉得。之前看过百岁山的广告，很有新意，很特别，看了就让人有想买的感觉，买了以后也不后悔，确实口感很好，值得推荐值得购买
2019-09-04 12:39:10,不错的矿泉水，以前刚工作的时候都不知道，零几年的时候去南方出差，是广州吧，酒店里摆着，才知道是矿泉水，哈哈哈，感觉自己好老土，水好喝，很软，微甜，比天津的好喝，个人比较喜欢，用来煮饭，沏茶，食用和饮用都很适宜，推荐关注，会持续回购，五星好评，赞！
2019-09-09 16:48:12,我在云南石林，这边的水质简直糟糕透了，市政管网的水在接出来后，静置一阵子之后，就有沉淀物，烧开了，水的颜色简直就像牛奶锅的刷锅水，混得厉害，所以买这款水给宝宝喝，他也很喜欢喝，自己会去箱子里拿，不用催着他喝水，而且百岁山的水我很信任，之前，宝宝刚出生就用这个水，给宝宝冲奶粉，再大点，就用这个水给宝宝做辅食，很棒的水，很好的口感。
